Manufacturer,Registrations,Date,Category
JIANGSU AIMA (IMPORTER: FUTURE EV),55,2024-01-01,TWO WHEELER
JIANGSU AIMA (IMPORTER: QUANTUM ENERGY),16,2024-01-01,TWO WHEELER
JIANGSU DALONG (IMPORTER: ENGTIAN ELECTRIC),4,2024-01-01,TWO WHEELER
JIANGSU DALONG (IMPORTER: KINGCHE MOBILITY),10,2024-01-01,TWO WHEELER
JIANGSU DALONG (IMPORTER: SABOO TOR),33,2024-01-01,TWO WHEELER
JIANGSU DALONG (IMPORTER:TYLOS ELECTRIC VEHICLES),12,2024-01-01,TWO WHEELER
JIANGSU DALONG JIANHAO (IMPORTER: GREEN INDIA),1,2024-01-01,TWO WHEELER
JIANGSU GUOWEI (IMPORTER:ELECTRO-TECH),7,2024-01-01,TWO WHEELER
JIANGSU GUOWEI (IMPORTER: REVEAL ELECTRIC),20,2024-01-01,TWO WHEELER
JIANGSU JINPENG (IMPORTER:RAFT MOTORS P. LTD),36,2024-01-01,TWO WHEELER
JIANGSU SUNHOU (IMPORTER: SABOO TOR),5,2024-01-01,TWO WHEELER
JIANGSU XINRI E-VEHICLE(IMPORTER SWIFT CUR.TECH.),13,2024-01-01,TWO WHEELER
JIANGSU XINRI (IMPORTER: NISIKI TECHNOLOGIES),2,2024-01-01,TWO WHEELER
JIANGSU ZHEENAIDA (IMPORTER: KLB GLOBAL),147,2024-01-01,TWO WHEELER
JITENDRA NEW EV-TECH PVT. LTD,932,2024-01-01,TWO WHEELER
JUNENG MOTORCYCLE (IMPORTER: ADMS MARKETING),60,2024-01-01,TWO WHEELER
JUNENG MOTORCYCLE (IMPORTER: ISCOOT MOTERS),144,2024-01-01,TWO WHEELER
JUNENG MOTORCYCLE (IMPORTER: JHEV MOTORS PVT LTD),100,2024-01-01,TWO WHEELER
JUNENG MOTORCYCLE TECH. (IMPORTER: DELTA AUTOCORP),31,2024-01-01,TWO WHEELER
KABIRA MOBILITY LLP,33,2024-01-01,TWO WHEELER
KAINING (HONGKONG) (IMPORTER: COMPTECH MOTOCORP),141,2024-01-01,TWO WHEELER
KAINING (HONGKONG) (IMPORTER: ENERGY AUTOMOBILE),19,2024-01-01,TWO WHEELER
KAINING (HONGKONG) (IMPORTER: ENIGMA AUTOMOBILES),19,2024-01-01,TWO WHEELER
KAINING (HONGKONG) (IMPORTER:M/S IZANAU ELECTRIC),22,2024-01-01,TWO WHEELER
KAINING (HONGKONG) (IMPORTER:RAILIES MOTO),5,2024-01-01,TWO WHEELER
KAINING (HONGKONG) (IMPORTER: TOXMO ELECTRIC),2,2024-01-01,TWO WHEELER
KAINING (HONGKONG) (IMPORTER: VOLTA EV PVT LTD),5,2024-01-01,TWO WHEELER
KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,11460,2024-01-01,TWO WHEELER
KLB KOMAKI PVT LTD,3570,2024-01-01,TWO WHEELER
KTM MOTORRAD AG,2,2024-01-01,TWO WHEELER
KYTE ENERGY PVT. LTD.,408,2024-01-01,TWO WHEELER
LECTRIX E VEHICLES PVT LTD,5255,2024-01-01,TWO WHEELER
LIMA VEHICLE GROUP(IMPORTER: ROUTE & MARS EV LLP),2,2024-01-01,TWO WHEELER
LORDS AUTOMATIVE PVT LTD,4,2024-01-01,TWO WHEELER
MAC INTERNATIONAL (IMPORTER:HONESTY),1,2024-01-01,TWO WHEELER
MAC INTERNATIONAL (IMPORTER: JHEV MOTORS PVT LTD),45,2024-01-01,TWO WHEELER
MAC INTERNATIONAL (IMPORTER: SUNDAK SOLAR),1,2024-01-01,TWO WHEELER
MAHINDRA ELECTRIC MOBILITY LIMITED,1,2024-01-01,TWO WHEELER
MAHINDRA & MAHINDRA LIMITED,5,2024-01-01,TWO WHEELER
MARUTHISAN PVT LTD,143,2024-01-01,TWO WHEELER
MARUTI SUZUKI INDIA LTD,10,2024-01-01,TWO WHEELER
MATTER MOTOR WORKS PVT LTD,24,2024-01-01,TWO WHEELER
MAULIRAJ INDUSTRIES LLP,1,2024-01-01,TWO WHEELER
MECPOWER MOBILITY PVT. LTD.,240,2024-01-01,TWO WHEELER
MERCURY EV TECH LTD,2,2024-01-01,TWO WHEELER
MEW ELECTRICALS LIMITED,7,2024-01-01,TWO WHEELER
MICROAUTOTECH PVT. LTD.,3,2024-01-01,TWO WHEELER
MIRAKLE 5 AUTOMOBILES PVT LTD,17,2024-01-01,TWO WHEELER
MODIKA INTERNATIONAL (IMPORTER: FRANKLIN EV),31,2024-01-01,TWO WHEELER
MOTOVOLT MOBILITY PVT LTD,310,2024-01-01,TWO WHEELER
NANJING VMOTO (IMPORTER: FORTUNEV),1,2024-01-01,TWO WHEELER
NDS ECO MOTORS PVT LTD,13,2024-01-01,TWO WHEELER
NINGBO LONGJIA (IMPORTER: ADISHWAR AUTO),143,2024-01-01,TWO WHEELER
NINGBO SANJIANG (IMPORTER: VABRO EVTECH),46,2024-01-01,TWO WHEELER
NISIKI TECHNOLOGIES PVT LTD,28,2024-01-01,TWO WHEELER
NUMEROS MOTORS PVT LTD,282,2024-01-01,TWO WHEELER
OBEN ELECTRIC VEHICLES PVT LTD,634,2024-01-01,TWO WHEELER
ODYSSE ELECTRIC VEHICLES PVT LTD,1534,2024-01-01,TWO WHEELER
OKAYA EV PVT LTD,6104,2024-01-01,TWO WHEELER
OKINAWA AUTOTECH PVT LTD,4855,2024-01-01,TWO WHEELER
OLA ELECTRIC TECHNOLOGIES PVT LTD,407692,2024-01-01,TWO WHEELER
OMJAY EV LIMITED,14,2024-01-01,TWO WHEELER
OTHERS,270,2024-01-01,TWO WHEELER
OZOTEC AUTOMOBILE PRIVATE LIMITED,103,2024-01-01,TWO WHEELER
PIAGGIO VEHICLES PVT LTD,34821,2024-01-01,TWO WHEELER
POLARIS INDIA PVT LTD,16,2024-01-01,TWO WHEELER
PORFITEL TECHNOLOGY (IMPORTER: AERORIDE),106,2024-01-01,TWO WHEELER
PORWAL ELECTRIC,6,2024-01-01,TWO WHEELER
PUR ENERGY PVT LTD,5539,2024-01-01,TWO WHEELER
QIANJIANG-KEEWAY (IMPORTER: ADISHWAR AUTO),684,2024-01-01,TWO WHEELER
QICHENG VEHICLE (IMPORTER: AUTOICARE INNOVATION),28,2024-01-01,TWO WHEELER
QOOKEE TECHNOLOGIES (IMPORTER:VIKEBIKE INDIA),28,2024-01-01,TWO WHEELER
QUANTUM ENERGY LTD.,5612,2024-01-01,TWO WHEELER
REGENERATION E BIKES,9,2024-01-01,TWO WHEELER
REVOLT INTELLICORP PVT LTD,9955,2024-01-01,TWO WHEELER
RGM BUSINESS PLUS PVT LTD,248,2024-01-01,TWO WHEELER
RIVER MOBILITY PVT LTD,2515,2024-01-01,TWO WHEELER
ROWWET MOBILITY PVT LTD,331,2024-01-01,TWO WHEELER
ROYAL AUTOMOBILES,1,2024-01-01,TWO WHEELER
ROYAL-ENFIELD (UNIT OF EICHER LTD),816792,2024-01-01,TWO WHEELER
SAI SAMEER POWER ELECTRIC VEHICLES PVT LTD,7,2024-01-01,TWO WHEELER
SBTEK E MOTO PVT LTD,11,2024-01-01,TWO WHEELER
SEEKA E MOTORS PVT LTD,15,2024-01-01,TWO WHEELER
SHEMA E- VEHCILE & SOLAR PVT LTD,1568,2024-01-01,TWO WHEELER
SIMPLEENERGY PVT LTD,1419,2024-01-01,TWO WHEELER
